network_id,detector_id,x_m,y_m,cost_proxy,network_role
N0,,,,0.0,reference
N1,D001,500.0,0.0,1.0,selected
N1,D002,1000.0,0.0,1.0,selected
N1,D003,1000.0,200.0,1.0,selected
N1,D004,1000.0,-200.0,1.0,selected
N1,D005,2000.0,0.0,1.0,selected
N2,D001,500.0,0.0,1.0,selected
N2,D002,1000.0,0.0,1.0,selected
N2,D005,2000.0,0.0,1.0,selected
N2,D018,2500.0,250.0,1.0,selected
N2,D019,2500.0,-250.0,1.0,selected
N3,D001,500.0,0.0,1.0,selected
N3,D007,2000.0,-300.0,0.6,selected
N3,D011,0.0,500.0,1.0,selected
N3,D012,0.0,-500.0,1.0,selected
N3,D013,-500.0,0.0,0.6,selected
N4,D001,500.0,0.0,1.0,selected
N4,D007,2000.0,-300.0,0.6,selected
N4,D011,0.0,500.0,1.0,selected
N4,D013,-500.0,0.0,0.6,selected
