source_id,scenario_id,weather_id,sigma_multiplier,x_m,y_m,z_m,sigma_y_m,sigma_z_m,concentration_bq_m3,concentration_Bq_m3
SRC_001,S1,W1,0.65,500.0,0.0,0.0,25.373401896661868,14.740614447359864,0.002364031946323963,0.002364031946323963
SRC_001,S1,W1,0.65,1000.0,0.0,0.0,49.5800546407708,24.66576574931336,0.0007230128612839457,0.0007230128612839457
SRC_001,S1,W1,0.65,2000.0,0.0,0.0,94.9385766342288,39.0,0.00023880328859818674,0.00023880328859818674
SRC_001,S1,W1,0.65,3000.0,0.0,0.0,136.82105101189657,49.88896762721284,0.00012953591206679986,0.00012953591206679986
SRC_001,S1,W1,1.0,500.0,0.0,0.0,39.03600291794133,22.677868380553637,0.0009988034973218746,0.0009988034973218746
SRC_001,S1,W1,1.0,1000.0,0.0,0.0,76.27700713964738,37.94733192202055,0.00030547293389246704,0.00030547293389246704
SRC_001,S1,W1,1.0,2000.0,0.0,0.0,146.0593486680443,60.0,0.0001008943894327339,0.0001008943894327339
SRC_001,S1,W1,1.0,3000.0,0.0,0.0,210.49392463368702,76.75225788801976,5.472892284822295e-05,5.472892284822295e-05
SRC_001,S1,W1,1.5,500.0,0.0,0.0,58.554004376912,34.01680257083046,0.00044391266547638865,0.00044391266547638865
SRC_001,S1,W1,1.5,1000.0,0.0,0.0,114.41551070947108,56.92099788303083,0.000135765748396652,0.000135765748396652
SRC_001,S1,W1,1.5,2000.0,0.0,0.0,219.08902300206643,90.0,4.484195085899285e-05,4.484195085899285e-05
SRC_001,S1,W1,1.5,3000.0,0.0,0.0,315.7408869505305,115.12838683202963,2.432396571032131e-05,2.432396571032131e-05
