case_id,parameter,factor,Q_dot_Bq_s,concentration_Bq_m3,net_signal_counts,total_signal_counts,threshold_counts,threshold_n_sigma,threshold_crossing,concentration_pct_change,net_signal_pct_change,threshold_margin_counts
nominal,nominal,1.0,8.333333333333334,0.00030547293389246704,305.47293389246704,7505.472933892467,7454.55,3.0,True,0.0,0.0,50.92293389246697
ARF_x0p1,ARF,0.1,0.8333333333333334,3.0547293389246705e-05,30.547293389246704,7230.547293389247,7454.55,3.0,False,-90.0,-90.0,-224.0027066107532
ARF_x10,ARF,10.0,83.33333333333333,0.00305472933892467,3054.72933892467,10254.72933892467,7454.55,3.0,True,899.9999999999998,899.9999999999999,2800.1793389246695
LPF_x0p1,LPF,0.1,0.8333333333333335,3.0547293389246705e-05,30.547293389246704,7230.547293389247,7454.55,3.0,False,-90.0,-90.0,-224.0027066107532
LPF_x10,LPF,10.0,83.33333333333333,0.00305472933892467,3054.72933892467,10254.72933892467,7454.55,3.0,True,899.9999999999998,899.9999999999999,2800.1793389246695
wind_speed_x0p5,wind_speed_mps,0.5,8.333333333333334,0.0006109458677849341,610.9458677849341,7810.945867784934,7454.55,3.0,True,100.0,100.0,356.3958677849341
wind_speed_x2,wind_speed_mps,2.0,8.333333333333334,0.00015273646694623352,152.73646694623352,7352.736466946233,7454.55,3.0,False,-50.0,-50.0,-101.81353305376706
duration_x0p5,duration_s,0.5,16.666666666666668,0.0006109458677849341,610.9458677849341,7810.945867784934,7454.55,3.0,True,100.0,100.0,356.3958677849341
duration_x2,duration_s,2.0,4.166666666666667,0.00015273646694623352,152.73646694623352,7352.736466946233,7454.55,3.0,False,-50.0,-50.0,-101.81353305376706
sigma_y_x0p5,sigma_y_multiplier,0.5,8.333333333333334,0.0006109458677849341,610.9458677849341,7810.945867784934,7454.55,3.0,True,100.0,100.0,356.3958677849341
sigma_y_x2,sigma_y_multiplier,2.0,8.333333333333334,0.00015273646694623352,152.73646694623352,7352.736466946233,7454.55,3.0,False,-50.0,-50.0,-101.81353305376706
sigma_z_x0p5,sigma_z_multiplier,0.5,8.333333333333334,0.0006109458677849341,610.9458677849341,7810.945867784934,7454.55,3.0,True,100.0,100.0,356.3958677849341
sigma_z_x2,sigma_z_multiplier,2.0,8.333333333333334,0.00015273646694623352,152.73646694623352,7352.736466946233,7454.55,3.0,False,-50.0,-50.0,-101.81353305376706
threshold_5sigma,threshold_n_sigma,1.6666666666666667,8.333333333333334,0.00030547293389246704,305.47293389246704,7505.472933892467,7624.25,5.0,False,0.0,0.0,-118.77706610753285
